"年月","販売額_百万円","店舗数_店"
"26年計","28117.0","27.0"
"27年計","26661.0","24.0"
"","",""
"27年_5","2089.0","27.0"
"27年_6","2077.0","25.0"
"27年_7","2686.0","24.0"
"27年_8","2559.0","24.0"
"27年_9","1815.0","24.0"
"27年_10","1773.0","24.0"
"27年_11","2080.0","24.0"
"27年_12","2917.0","24.0"
"28年_1","2275.0","24.0"
"28年_2","1874.0","25.0"
"28年_3","2383.0","25.0"
"28年_4","1870.0","25.0"
"28年_5","1965.0","25.0"
"","",""
"対前月増減率(％)","5.1","0.0"
"対前年同月増減率(％)","-5.9","-7.4"
