"年月","販売額_百万円","店舗数_店"
"26年計","28117.0","27.0"
"27年計","26661.0","24.0"
"","",""
"27年_2","1923.0","27.0"
"27年_3","2527.0","27.0"
"27年_4","1985.0","27.0"
"27年_5","2089.0","27.0"
"27年_6","2077.0","25.0"
"27年_7","2686.0","24.0"
"27年_8","2559.0","24.0"
"27年_9","1815.0","24.0"
"27年_10","1773.0","24.0"
"27年_11","2080.0","24.0"
"27年_12","2917.0","24.0"
"28年_1","2275.0","24.0"
"28年_2","1874.0","25.0"
"","",""
"対前月増減率(％)","-17.6","4.2"
"対前年同月増減率(％)","-2.5","-7.4"
